iter	R2	RMSE
707	0.981407227	183589.7034
708	0.9814195959	183528.6264
709	0.9814329482	183462.6707
710	0.9814548515	183354.4245
711	0.9814789409	183235.3006
712	0.9815070697	183096.1037
713	0.9815304058	182980.5436
714	0.9815455545	182905.4883
715	0.9815622157	182822.9031
716	0.9815769326	182749.9248
717	0.9815984144	182643.3482
718	0.9816145961	182563.0252
719	0.9816429882	182422.0071
720	0.9816602766	182336.0855
721	0.9816720666	182277.4674
722	0.9816892677	182191.9118
723	0.9817111289	182083.1199
724	0.9817165483	182056.1402
725	0.9817382574	181948.0246
726	0.981747879	181900.0866
727	0.981774812	181765.8302
728	0.981788253	181698.7924
729	0.9818052342	181614.0617
730	0.9818175358	181552.6559
731	0.9818303963	181488.4383
732	0.9818488361	181396.3215
733	0.9818599597	181340.7304
734	0.9818664035	181308.5191
735	0.9818849743	181215.6551
736	0.9819057678	181111.6204
737	0.9819179388	181050.698
738	0.9819373032	180953.727
739	0.9819489143	180895.557
740	0.981954739	180866.3689
741	0.9819682326	180798.7341
742	0.9819829343	180725.0141
743	0.9820000276	180639.2643
744	0.9820131387	180573.464
745	0.9820256103	180510.8509
746	0.9820455128	180410.8859
747	0.9820567909	180354.2146
748	0.9820816142	180229.417
749	0.9821074024	180099.6767
750	0.9821134897	180069.0381
751	0.9821211123	180030.6645
752	0.9821424104	179923.4026
753	0.982148727	179891.5781
754	0.9821662548	179803.2406
755	0.982176589	179751.1377
756	0.9821903244	179681.8628
757	0.9822039069	179613.3324
758	0.9822186467	179538.934
759	0.982239036	179435.9684
760	0.9822497562	179381.8081
761	0.9822583391	179338.434
762	0.9822666479	179296.4351
763	0.9822908094	179174.249
764	0.9823046226	179104.357
765	0.982319617	179028.4579
766	0.9823346386	178952.3889
767	0.98234213	178914.4403
768	0.9823577535	178835.2721
769	0.9823691431	178777.5358
770	0.9823837053	178703.6897
771	0.9823923508	178659.8337
772	0.9824083349	178578.7221
773	0.9824283441	178477.1333
774	0.9824323976	178456.5459
775	0.9824363866	178436.2845
776	0.9824508056	178363.0247
777	0.9824670169	178280.6234
778	0.98247938	178217.7563
779	0.9825006039	178109.7801
780	0.9825071081	178076.6769
781	0.9825199105	178011.5009
782	0.9825375206	177921.8109
783	0.9825454581	177881.3693
784	0.9825628712	177792.6176
785	0.9825709633	177751.3583
786	0.9825942838	177632.4007
787	0.9826075792	177564.5454
788	0.9826242193	177479.5829
789	0.9826344622	177427.2638
790	0.982642745	177384.9451
791	0.9826506409	177344.5943
792	0.9826654268	177269.0076
793	0.9826854904	177166.3891
794	0.9827023726	177079.9969
795	0.9827120078	177030.6708
796	0.9827353976	176910.8738
797	0.9827466801	176853.0583
798	0.9827598237	176785.6819
799	0.9827735889	176715.0917
800	0.9827907567	176627.0128
801	0.9828067772	176544.7801
802	0.9828306135	176422.3592
803	0.9828395072	176376.6598
804	0.9828602293	176270.1364
805	0.9828753316	176192.4613
806	0.9828862534	176136.2658
